id_student,early_login_count,early_login_consistency,early_clicks,early_clicks_per_login,unique_resources_early,num_of_prev_attempts,late_registration_score,workload_level,assignments_count,courses_count,procrastination_label
0,0,0.0,0.0,0.0,0,0,0.0,0.5,0,1,0
1,30,1.0,834.0,27.8,36,0,0.0,0.5,5,1,0
2,23,0.7666666666666667,419.0,18.217391304347824,84,1,0.0,0.625,7,1,1
3,10,0.3333333333333333,424.0,42.4,26,0,0.0,1.5,5,1,0
4,6,0.2,53.0,8.833333333333334,7,2,0.0,0.5,4,1,1
5,0,0.0,0.0,0.0,0,0,0.0,0.5,0,1,0
6,31,1.0,369.0,11.903225806451612,21,0,0.0,1.0,9,1,1
7,12,0.4,152.0,12.666666666666666,16,0,0.05,0.5,11,1,1
8,5,0.16666666666666666,22.0,4.4,7,0,0.08333333333333333,0.25,8,1,0
9,25,0.8333333333333334,534.0,21.36,39,1,0.0,0.625,7,1,1
10,7,0.23333333333333334,67.0,9.571428571428571,11,0,0.0,0.25,9,1,0
11,11,0.36666666666666664,122.0,11.090909090909092,21,0,0.2,0.5,5,1,1
12,8,0.26666666666666666,85.0,10.625,12,0,0.0,1.0,11,1,1
13,21,0.7,281.0,13.380952380952381,19,0,0.0,0.5,4,1,0
14,29,0.9666666666666667,758.0,26.137931034482758,34,0,0.0,0.5,1,1,1
15,13,0.43333333333333335,67.0,5.153846153846154,19,2,0.0,1.25,2,1,0
16,3,0.1,16.0,5.333333333333333,3,1,0.0,1.0,0,1,0
17,0,0.0,0.0,0.0,0,2,0.0,0.5,2,1,1
18,16,0.5333333333333333,113.0,7.0625,14,0,0.0,0.25,9,1,0
19,30,1.0,830.0,27.666666666666668,40,0,0.0,0.5,5,1,0
20,43,1.0,2493.0,57.97674418604651,83,0,0.08333333333333333,0.75,12,1,0
21,18,0.6,478.0,26.555555555555557,50,2,0.0,0.5,1,1,0
22,0,0.0,0.0,0.0,0,0,0.0,0.5,0,1,0
23,18,0.6,369.0,20.5,43,1,0.0,0.5,5,1,0
24,0,0.0,0.0,0.0,0,4,0.0,0.5,0,1,0
25,11,0.36666666666666664,103.0,9.363636363636363,15,0,0.0,0.75,3,1,1
26,6,0.2,60.0,10.0,9,0,0.0,0.25,0,1,0
27,24,0.8,410.0,17.083333333333332,55,0,0.0,1.0,9,1,1
28,5,0.16666666666666666,229.0,45.8,34,0,0.0,1.0,12,1,0
29,9,0.3,66.0,7.333333333333333,14,1,0.0,0.5,8,1,1
30,0,0.0,0.0,0.0,0,0,0.0,0.5,0,1,0
31,13,0.43333333333333335,176.0,13.538461538461538,43,0,0.1,0.5,12,1,1
32,12,0.4,123.0,10.25,21,0,0.0,1.0,11,1,1
33,9,0.3,175.0,19.444444444444443,15,0,0.11666666666666667,1.25,3,1,0
34,11,0.36666666666666664,212.0,19.272727272727273,23,4,0.0,1.0,12,1,1
35,15,0.5,340.0,22.666666666666668,44,0,0.0,0.5,4,1,1
36,9,0.3,127.0,14.11111111111111,21,0,0.0,0.5833333333333334,7,1,0
37,34,1.0,585.0,17.205882352941178,42,0,0.0,0.5,5,1,0
38,0,0.0,0.0,0.0,0,0,0.0,0.5,0,1,0
39,19,0.6333333333333333,618.0,32.526315789473685,34,0,0.0,0.5,5,1,1
40,8,0.26666666666666666,156.0,19.5,26,0,0.0,0.25,2,1,1
41,0,0.0,0.0,0.0,0,0,0.0,0.25,0,1,0
42,13,0.43333333333333335,131.0,10.076923076923077,14,0,0.016666666666666666,0.5,5,1,1
43,14,0.4666666666666667,185.0,13.214285714285714,33,0,0.0,0.5,2,1,0
44,24,0.8,725.0,30.208333333333332,63,0,0.0,1.0,12,1,1
45,7,0.23333333333333334,99.0,14.142857142857142,21,0,0.0,0.5,2,1,1
46,10,0.3333333333333333,212.0,21.2,22,0,0.1,1.0,9,1,1
47,32,1.0,1510.0,47.1875,70,0,0.0,0.5,12,1,0
48,32,1.0,384.0,12.0,56,0,0.0,0.875,9,2,1
49,13,0.43333333333333335,159.0,12.23076923076923,21,0,0.26666666666666666,0.25,8,1,1
50,87,1.0,2522.0,28.988505747126435,51,0,0.08333333333333334,0.25,13,2,1
51,16,0.5333333333333333,311.0,19.4375,24,0,0.0,0.75,9,1,1
52,26,0.8666666666666667,466.0,17.923076923076923,49,1,0.0,0.5,6,1,1
53,44,1.0,633.0,14.386363636363637,64,0,0.0,0.5,13,2,1
54,7,0.23333333333333334,59.0,8.428571428571429,12,0,0.0,0.25,9,1,0
55,9,0.3,228.0,25.333333333333332,28,0,0.0,0.5,10,1,1
56,18,0.6,288.0,16.0,33,0,0.13333333333333333,0.5,9,1,1
57,12,0.4,281.0,23.416666666666668,22,0,0.0,0.5,0,1,0
58,29,0.9666666666666667,1031.0,35.55172413793103,55,1,0.0,1.5,4,1,1
59,7,0.23333333333333334,60.0,8.571428571428571,16,2,0.0,0.5,1,1,0
60,22,0.7333333333333333,527.0,23.954545454545453,19,0,0.0,1.0,9,1,1
61,27,0.9,411.0,15.222222222222221,16,0,0.0,1.0,5,1,1
62,32,1.0,592.0,18.5,17,0,0.0,0.25,9,1,0
63,32,1.0,697.0,21.78125,68,0,0.0,0.875,9,1,1
64,9,0.3,152.0,16.88888888888889,30,1,0.0,0.5,7,1,0
65,10,0.3333333333333333,205.0,20.5,16,0,0.0,0.25,4,1,0
66,36,1.0,588.0,16.333333333333332,111,1,0.0,1.0,2,1,0
67,6,0.2,52.0,8.666666666666666,14,1,0.16666666666666666,0.5,12,1,1
68,8,0.26666666666666666,231.0,28.875,16,0,0.0,0.5,5,1,1
